MUNICIPIO,MUNIC,POPULACAO,TOTAL_PER_CAPITA,COD_IBGE_SMALL,COD_IBGE,UF,TOTAL
ALTAMIRA,ALTAMIRA-PA,96842,0.7665062679,150060,1500602,PA,74230
ALTAMIRA DO MARANHÃO,ALTAMIRA DO MARANHÃO-MA,7607,3.8806362561,210040,2100402,MA,29520
ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ-PR,4101,48.7635601073,410045,4100459,PR,199979.36
ALTANEIRA,ALTANEIRA-CE,6733,3.356601812,230060,2300606,CE,22600
ALTEROSA,ALTEROSA-MG,13744,2.7377182771,310200,3102001,MG,37627.2
ALTINHO,ALTINHO-PE,22418,1.6955125346,260080,2600807,PE,38010
ALTINÓPOLIS,ALTINÓPOLIS-SP,15560,9.0531491003,350100,3501004,SP,140867
ALTO ALEGRE,ALTO ALEGRE-RR,14562,3.3581238841,140005,1400050,RR,48901
ALTO ALEGRE,ALTO ALEGRE-RS,1965,10.8651399491,430055,4300554,RS,21350
ALTO ALEGRE,ALTO ALEGRE-SP,4270,2.7160468384,350110,3501103,SP,11597.52
ALTO ALEGRE DO MARANHÃO,ALTO ALEGRE DO MARANHÃO-MA,22676,0.4850943729,210043,2100436,MA,11000
ALTO ALEGRE DO PINDARÉ,ALTO ALEGRE DO PINDARÉ-MA,32955,1.7599757245,210047,2100477,MA,58000
ALTO ALEGRE DOS PARECIS,ALTO ALEGRE DOS PARECIS-RO,11962,9.0521852533,110037,1100379,RO,108282.24
ALTO ARAGUAIA,ALTO ARAGUAIA-MT,14324,1.8545099134,510030,5100300,MT,26564
ALTO BELA VISTA,ALTO BELA VISTA-SC,2075,9.156626506,420075,4200754,SC,19000
ALTO CAPARAÓ,ALTO CAPARAÓ-MG,5257,2.7608902416,310205,3102050,MG,14514
ALTO DO RODRIGUES,ALTO DO RODRIGUES-RN,11817,5.4025217906,240070,2400703,RN,63841.6
